province_state,country_region,last_update,confirmed,deaths,recovered,latitude,longitude
NA,Paraguay,2020-03-22T01:43:03Z,22,1,0,-23.4425,-58.4438
NA,Montenegro,2020-03-22T23:13:20Z,21,0,0,42.7087,19.3744
Alaska,US,2020-03-22T15:43:06Z,21,0,0,61.3707,-152.4044
South Dakota,US,2020-03-22T20:13:40Z,21,1,0,44.2998,-99.4388
Macau,China,2020-03-22T13:43:05Z,20,0,10,22.1667,113.55
Australian Capital Territory,Australia,2020-03-22T14:13:10Z,19,0,0,-35.4735,149.0124
Manitoba,Canada,2020-03-22T02:43:03Z,19,0,0,53.7609,-98.8139
NA,Guatemala,2020-03-22T23:13:20Z,19,1,0,15.7835,-90.2308
NA,Rwanda,2020-03-22T23:13:20Z,19,0,0,-1.9403,29.8739
Qinghai,China,2020-03-11T02:18:14Z,18,0,18,35.7452,95.9956
NA,French Guiana,2020-03-21T21:13:30Z,18,0,6,3.9339,-53.1258
NA,Mauritius,2020-03-22T14:43:19Z,18,1,0,-20.3484,57.5522
New Brunswick,Canada,2020-03-21T21:13:30Z,17,0,0,46.5653,-66.4619
NA,Jamaica,2020-03-20T14:13:11Z,16,1,2,18.1096,-77.2975
NA,Togo,2020-03-21T17:43:03Z,16,0,1,8.6195,0.8248
French Polynesia,France,2020-03-21T12:43:08Z,15,0,0,-17.6797,-149.4068
NA,Kenya,2020-03-22T15:13:56Z,15,0,0,-0.0236,37.9062
Gibraltar,United Kingdom,2020-03-22T23:43:03Z,15,0,2,36.1408,-5.3536
NA,Barbados,2020-03-22T02:13:18Z,14,0,0,13.1939,-59.5432
NA,Cote d'Ivoire,2020-03-21T12:43:08Z,14,0,1,7.54,-5.5471
NA,Kyrgyzstan,2020-03-21T17:43:03Z,14,0,0,41.2044,74.7661
Grand Princess,Canada,2020-03-22T16:43:07Z,13,0,0,37.6489,-122.6655
NA,Maldives,2020-03-15T18:20:18Z,13,0,0,3.2028,73.2207
NA,Tanzania,2020-03-22T14:43:19Z,12,0,0,-6.369,34.8888
West Virginia,US,2020-03-22T03:13:24Z,12,0,0,38.4912,-80.9545
NA,Ethiopia,2020-03-22T14:43:19Z,11,0,4,9.145,40.4897
NA,Mayotte,2020-03-22T02:13:22Z,11,0,0,-12.8275,45.1662
NA,Mongolia,2020-03-21T12:43:08Z,10,0,0,46.8625,103.8467
Aruba,Netherlands,2020-03-22T11:43:03Z,8,0,0,12.5211,-69.9683
NA,Guyana,2020-03-17T10:53:03Z,7,1,0,4.8604,-58.9302
NA,Seychelles,2020-03-20T15:43:24Z,7,0,0,-4.6796,55.492
Newfoundland and Labrador,Canada,2020-03-21T21:13:29Z,6,0,0,53.1355,-57.6604
NA,Equatorial Guinea,2020-03-19T20:43:03Z,6,0,0,1.6508,10.2679
United States Virgin Islands,US,2020-03-21T17:43:03Z,6,0,0,18.3358,-64.8963
NA,Gabon,2020-03-22T02:13:18Z,5,1,0,-0.8037,11.6094
NA,Suriname,2020-03-22T01:43:03Z,5,0,0,3.9193,-56.0278
Isle of Man,United Kingdom,2020-03-22T14:13:08Z,5,0,0,54.2361,-4.5481
NA,"Bahamas, The",2020-03-21T02:43:03Z,4,0,0,25.034300000000002,-77.3963
Greenland,Denmark,2020-03-22T23:43:03Z,4,0,0,71.7069,-42.6043
NA,Eswatini,2020-03-22T11:43:03Z,4,0,0,-26.5225,31.4659
New Caledonia,France,2020-03-21T17:43:03Z,4,0,0,-20.9043,165.618
St Martin,France,2020-03-19T09:33:04Z,4,0,0,18.0708,-63.0501
Northern Territory,Australia,2020-03-20T21:13:29Z,3,0,0,-12.4634,130.8456
NA,Cabo Verde,2020-03-21T15:13:46Z,3,0,0,16.5388,-23.0418
NA,Central African Republic,2020-03-20T20:43:03Z,3,0,0,6.6111,20.9394
NA,Congo (Brazzaville),2020-03-19T20:13:56Z,3,0,0,-0.228,15.8277
NA,El Salvador,2020-03-21T12:43:08Z,3,0,0,13.7942,-88.8965
Saint Barthelemy,France,2020-03-16T14:38:45Z,3,0,0,17.9,-62.8333
NA,Liberia,2020-03-21T12:43:08Z,3,0,0,6.4281,-9.4295
NA,Madagascar,2020-03-20T22:13:53Z,3,0,0,-18.7669,46.8691
NA,Namibia,2020-03-19T20:13:52Z,3,0,0,-22.9576,18.4904
Curacao,Netherlands,2020-03-19T08:53:03Z,3,1,0,12.1696,-68.99
Cayman Islands,United Kingdom,2020-03-19T20:13:56Z,3,1,0,19.3133,-81.2546
NA,Zambia,2020-03-22T14:13:08Z,3,0,0,-13.1339,27.8493
NA,Zimbabwe,2020-03-21T12:43:08Z,3,0,0,-19.0154,29.1549
NA,Angola,2020-03-21T14:43:04Z,2,0,0,-11.2027,17.8739
NA,Benin,2020-03-18T14:13:56Z,2,0,0,9.3077,2.3158
NA,Bhutan,2020-03-20T14:13:37Z,2,0,0,27.5142,90.4336
Prince Edward Island,Canada,2020-03-19T18:43:03Z,2,0,0,46.5107,-63.4168
NA,Fiji,2020-03-22T02:13:20Z,2,0,0,-17.7134,178.065
NA,Guinea,2020-03-21T02:13:32Z,2,0,0,9.9456,-9.6966
NA,Haiti,2020-03-21T14:43:04Z,2,0,0,18.9712,-72.2852
NA,Kosovo,2020-03-15T18:20:19Z,2,0,0,42.6026,20.903
NA,Mauritania,2020-03-19T02:33:08Z,2,0,0,21.0079,-10.9408
NA,Nepal,2020-03-22T14:13:08Z,2,0,1,28.3949,84.124
NA,Nicaragua,2020-03-21T02:13:34Z,2,0,0,12.8654,-85.2072
NA,Niger,2020-03-22T14:13:08Z,2,0,0,17.6078,8.0817
NA,Saint Lucia,2020-03-17T04:32:19Z,2,0,0,13.9094,-60.9789
NA,Sudan,2020-03-18T12:13:09Z,2,1,0,12.8628,30.2176
Bermuda,United Kingdom,2020-03-21T03:13:14Z,2,0,0,32.3078,-64.7505
NA,Antigua and Barbuda,2020-03-15T18:20:19Z,1,0,0,17.0608,-61.7964
Northwest Territories,Canada,2020-03-21T21:13:30Z,1,0,0,64.8255,-124.8457
NA,Chad,2020-03-21T03:13:14Z,1,0,0,15.4542,18.7322
Tibet,China,2020-03-11T02:18:14Z,1,0,1,31.6927,88.0924
NA,Djibouti,2020-03-19T14:53:06Z,1,0,0,11.8251,42.5903
NA,Dominica,2020-03-22T23:43:03Z,1,0,0,15.415,-61.371
NA,Eritrea,2020-03-22T03:13:24Z,1,0,0,15.1794,39.7823
NA,"Gambia, The",2020-03-18T14:13:56Z,1,0,0,13.4432,-15.3101
NA,Grenada,2020-03-22T23:43:03Z,1,0,0,12.1165,-61.679
NA,Holy See,2020-03-13T22:22:02Z,1,0,0,41.9029,12.4534
NA,Mozambique,2020-03-22T23:13:21Z,1,0,0,-18.6657,35.5296
Sint Maarten,Netherlands,2020-03-20T21:13:30Z,1,0,0,18.0425,-63.0548
NA,Papua New Guinea,2020-03-21T23:43:02Z,1,0,0,-6.315,143.9555
NA,Saint Vincent and the Grenadines,2020-03-14T16:33:03Z,1,0,0,12.9843,-61.2872
NA,Somalia,2020-03-18T00:53:03Z,1,0,0,5.1521,46.1996
NA,Syria,2020-03-22T22:43:03Z,1,0,0,34.8021,38.9968
NA,Timor-Leste,2020-03-22T01:43:03Z,1,0,0,-8.8742,125.7275
US,US,2020-03-22T20:43:03Z,1,0,178,37.0902,-95.7129
NA,Uganda,2020-03-22T01:43:03Z,1,0,0,1.3733,32.2903
Montserrat,United Kingdom,2020-03-18T11:53:04Z,1,0,0,16.7425,-62.1874
From Diamond Princess,Australia,2020-03-14T02:33:04Z,0,0,0,35.4437,139.638
NA,Cape Verde,2020-03-22T11:43:03Z,0,0,0,15.1111,-23.6167
NA,East Timor,2020-03-22T11:13:23Z,0,0,0,-8.55,125.56
French Guiana,France,2020-03-18T14:33:15Z,0,0,0,4,-53
Guadeloupe,France,2020-03-18T14:33:15Z,0,0,0,16.25,-61.5833
Mayotte,France,2020-03-18T14:33:15Z,0,0,0,-12.8431,45.1383
Reunion,France,2020-03-18T14:33:15Z,0,0,0,-21.1351,55.2471
NA,Greenland,2020-03-19T09:33:04Z,0,0,0,72,-40
NA,Guam,2020-03-22T08:13:35Z,0,1,0,13.4443,144.7937
NA,Guernsey,2020-03-17T18:33:03Z,0,0,0,49.45,-2.58
NA,Jersey,2020-03-17T18:33:03Z,0,0,0,49.19,-2.11
NA,Puerto Rico,2020-03-22T22:43:02Z,0,1,0,18.2,-66.5
NA,Republic of the Congo,2020-03-17T21:33:03Z,0,0,0,-1.44,15.556
NA,The Bahamas,2020-03-19T12:13:38Z,0,0,0,24.25,-76
NA,The Gambia,2020-03-18T14:13:56Z,0,0,0,13.4667,-16.6
